number_sta,lat,lon,date,dd,ff,precip,hu,t,heure,minute,seconde,heure_complete
38191002,45.09,6.09,2016-01-01 01:18:00,310.0,1.2,0.0,88.0,274.05,1,18,0,0 days 01:18:00
38548001,45.08,5.56,2016-01-01 01:18:00,20.0,1.4,0.0,99.0,276.75,1,18,0,0 days 01:18:00
74042003,46.07,6.38,2016-01-01 01:18:00,0.0,0.0,0.0,99.0,279.55,1,18,0,0 days 01:18:00
83148002,43.39,6.53,2016-01-01 01:18:00,0.0,0.0,0.0,88.0,280.45,1,18,0,0 days 01:18:00
84025001,43.88,5.16,2016-01-01 01:18:00,0.0,0.0,0.0,98.0,281.55,1,18,0,0 days 01:18:00
7187001,44.61,4.24,2016-01-01 01:24:00,340.0,2.7,0.0,95.0,278.95,1,24,0,0 days 01:24:00
15122002,44.73,2.17,2016-01-01 01:24:00,30.0,1.1,0.0,97.0,276.75,1,24,0,0 days 01:24:00
19164001,45.7,2.06,2016-01-01 01:24:00,120.0,2.0,0.0,100.0,273.75,1,24,0,0 days 01:24:00
26321003,44.55,5.28,2016-01-01 01:24:00,0.0,0.0,0.0,97.0,279.45,1,24,0,0 days 01:24:00
34209002,43.32,3.35,2016-01-01 01:24:00,260.0,0.6,0.0,95.0,283.55,1,24,0,0 days 01:24:00
38191002,45.09,6.09,2016-01-01 01:24:00,320.0,1.3,0.0,86.0,274.05,1,24,0,0 days 01:24:00
38548001,45.08,5.56,2016-01-01 01:24:00,20.0,1.4,0.0,99.0,276.85,1,24,0,0 days 01:24:00
74042003,46.07,6.38,2016-01-01 01:24:00,0.0,0.0,0.0,99.0,279.55,1,24,0,0 days 01:24:00
83148002,43.39,6.53,2016-01-01 01:24:00,0.0,0.0,0.0,89.0,280.35,1,24,0,0 days 01:24:00
84025001,43.88,5.16,2016-01-01 01:24:00,0.0,0.0,0.0,98.0,281.65,1,24,0,0 days 01:24:00
7187001,44.61,4.24,2016-01-01 01:30:00,340.0,2.7,0.0,95.0,278.95,1,30,0,0 days 01:30:00
15122002,44.73,2.17,2016-01-01 01:30:00,40.0,1.9,0.0,97.0,276.75,1,30,0,0 days 01:30:00
19164001,45.7,2.06,2016-01-01 01:30:00,120.0,2.1,0.0,100.0,273.65,1,30,0,0 days 01:30:00
26321003,44.55,5.28,2016-01-01 01:30:00,0.0,0.0,0.0,98.0,279.55,1,30,0,0 days 01:30:00
34209002,43.32,3.35,2016-01-01 01:30:00,260.0,0.7,0.0,95.0,283.55,1,30,0,0 days 01:30:00
38191002,45.09,6.09,2016-01-01 01:30:00,330.0,1.3,0.0,86.0,274.05,1,30,0,0 days 01:30:00
38548001,45.08,5.56,2016-01-01 01:30:00,20.0,1.4,0.0,99.0,276.85,1,30,0,0 days 01:30:00
74042003,46.07,6.38,2016-01-01 01:30:00,0.0,0.0,0.0,99.0,279.55,1,30,0,0 days 01:30:00
